0002-4341	1
0-00-634011-3	1
0.02	1
0.04	3
0.05	1
0.08	1
0.09	2
0	2
0.1	3
0.12	2
0.15	4
0.17	1
0.18	2
0-19-824290-5	1
0.2	1
0.25	1
0.3	1
0.40	1
0.4	2
0.5–0.7	1
0.5	1
0-521-09456-9	1
0.55	1
0.6	2
0.7	2
0-7546-6196-2	1
0.80–0.90	1
0.8	2
0-8173-1065-7	2
0-8490-1397-6	1
0-85345-175-3	1
0.9	5
0.96	1
100,000	4
10,000	2
1,000	8
10:00	1
1000	3
100	3
10	18
10:13	1
10–15	1
101,821	1
1025b25	1
104,430	1
104,991	1
105	1
106,280	1
108,000	1
1	28
1100	1
1.1	1
11	15
111-113	1
112,249	1
1,128,047	1
113	1
116,250	1
118,572	1
119	1
119,490	1
11-volume	1
120,000	1
1,200	1
120,155	1
1–2	2
12	11
121,054	1
121,110	1
12–13	1
121,800	1
12,280	1
123	1
12,410	1
126	1
12,770	1
12th	1
12-year-old	1
130,000	1
13	5
131–135	1
136	3
1,376,957	1
1,380,121	1
13th	1
140,247	2
14	7
1-4120-4843-5	1
143,000	1
14.3	1
14–34	1
145,639	1
147,137	1
14-v	1
150–151	1
150,647	1
1.5	2
15	13
153,829	1
1540	1
154,040	1
1,541	1
155	1
1-55164-250-6	1
1-55164-251-4	1
157th	1
1.58	1
15q13.3	1
15th	1
1600	2
1600s	1
1-60486-064-2	1
16	11
1617	1
162,000	1
1642	1
167,160	1
16p13.1	1
16th	5
170	1
1702	3
17	3
171	1
1711	1
1744	1
1747	1
175	1
1760	1
1761	1
1763	3
1767	1
1770s	1
1776	1
1783	3
1786	1
1789	1
1789–2002	2
179	1
1793	2
1794	1
1796	1
1798	2
17p12	1
17th	3
18,000	1
1,800	1
180	1
180,105	1
1804	1
1809	3
18	7
181,000	1
1810	2
1812	2
1814	1
1816	1
1817	3
1817–1862	1
1818	1
1819	4
1820	4
1820s	1
1821	1
182,265	1
1823	1
1825	1
1826	1
18–30	1
1830	4
1830s	4
183	1
1831	2
1831–1870	1
1832	1
1833	1
1834	1
1835	2
1835–36	1
1836	3
1837	3
1839	1
1840	1
1840s	1
1840s.after	1
1841	2
1842	3
1843	1
1844	5
1846	5
1847	1
1848	4
1849	2
1849–1898	1
1850	2
1850s	6
1851	2
1853	2
1854	3
1854–60	1
1856	2
1857	1
1857–1858	1
1858	5
1859	2
1860	15
